,negative_prob,neutral_prob,positive_prob,predicted,true
0,0.33237877429083373,0.3608412297642478,0.30677999594491867,neutral,positive
1,0.31683270189459384,0.3488247715282737,0.3343425265771327,neutral,positive
2,0.3357918793840739,0.3551333016503323,0.3090748189655939,neutral,negative
3,0.2964656618286776,0.3278835473317242,0.3756507908395981,positive,positive
4,0.32937883429198933,0.36635675139174245,0.30426441431626833,neutral,neutral
5,0.33312044647923583,0.3535041007083755,0.3133754528123889,neutral,negative
6,0.2628826315105644,0.2618647813619548,0.4752525871274811,positive,positive
7,0.33483410347840253,0.35741856901685387,0.3077473275047438,neutral,neutral
8,0.34831049762391625,0.3453808940647177,0.3063086083113661,negative,positive
9,0.3368413741853251,0.355897984126981,0.307260641687694,neutral,positive
10,0.3167701831923069,0.3882215889084445,0.29500822789924924,neutral,neutral
11,0.2504351473189121,0.27947060303385124,0.4700942496472366,positive,positive
12,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
13,0.34789023558839755,0.3486989361910696,0.3034108282205331,neutral,negative
14,0.5253527943626333,0.23705137934756526,0.237595826289801,negative,negative
15,0.3366389158103233,0.3559767015190353,0.3073843826706415,neutral,neutral
16,0.3359517606773571,0.3562652951470957,0.3077829441755473,neutral,negative
17,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
18,0.3293017200323323,0.3495107943278616,0.3211874856398065,neutral,neutral
19,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,negative
20,0.33379122958199525,0.3562439443624732,0.30996482605553166,neutral,positive
21,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
22,0.3498808881353422,0.3298472714260705,0.3202718404385872,negative,negative
23,0.3113853521167236,0.3901073057674354,0.2985073421158416,neutral,neutral
24,0.24986137393914615,0.2604387340784736,0.4896998919823803,positive,negative
25,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
26,0.3405400331168333,0.35544674163127743,0.3040132252518897,neutral,neutral
27,0.482330220825076,0.27453144098854887,0.2431383381863755,negative,negative
28,0.3831524005035492,0.22524669566483962,0.3916009038316116,positive,negative
29,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,negative
30,0.33461907976954414,0.35795041152356044,0.3074305087068956,neutral,neutral
31,0.2317800990376847,0.1817979437057202,0.586421957256595,positive,positive
32,0.18580179912400202,0.36083387696234165,0.45336432391365594,positive,neutral
33,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,negative
34,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
35,0.5213777013726384,0.24827167460642102,0.23035062402094045,negative,negative
36,0.33284422685666487,0.35705318633313615,0.31010258681019937,neutral,neutral
37,0.43625121940904216,0.27905544355390144,0.2846933370370564,negative,positive
38,0.23761647794701105,0.2520117266542741,0.5103717953987147,positive,neutral
39,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
40,0.3546195103962105,0.3454557332828924,0.2999247563208974,negative,neutral
41,0.33466668433807606,0.35736482453039037,0.30796849113153385,neutral,neutral
42,0.3520841024261445,0.3466357621924203,0.3012801353814355,negative,positive
43,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
44,0.223024557194712,0.28980127500426794,0.4871741678010203,positive,neutral
45,0.33857957558838847,0.35143986954188494,0.3099805548697265,neutral,positive
46,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
47,0.264440974367181,0.26519616087986425,0.4703628647529549,positive,positive
48,0.3364945027830429,0.35591695703353576,0.3075885401834215,neutral,neutral
49,0.3283280957025328,0.3545730110440744,0.317098893253393,neutral,positive
50,0.3485399268873341,0.3481060478111687,0.30335402530149735,negative,positive
51,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
52,0.33840805590954476,0.35370402352360775,0.30788792056684766,neutral,negative
53,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
54,0.3464035851370337,0.3303764770892618,0.3232199377737043,negative,negative
55,0.34185402392615305,0.3552805120449061,0.30286546402894127,neutral,negative
56,0.40070361841988655,0.3068707310132589,0.29242565056685443,negative,positive
57,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,negative
58,0.26216571553392504,0.46201828761699726,0.2758159968490775,neutral,neutral
59,0.23585982008782136,0.25172624465882154,0.5124139352533571,positive,neutral
60,0.3309339752435462,0.35517822974302604,0.31388779501342784,neutral,neutral
61,0.2764761947342281,0.44338543736639413,0.28013836789937796,neutral,neutral
62,0.26515909896728135,0.4630088829800668,0.2718320180526516,neutral,neutral
63,0.21469011629475687,0.23483051470594712,0.550479368999296,positive,positive
64,0.3139293530576664,0.3823927469815076,0.30367789996082656,neutral,neutral
65,0.5136314808618718,0.2781069732556776,0.20826154588245085,negative,neutral
66,0.3345502379124273,0.35592862956669236,0.30952113252088054,neutral,negative
67,0.27436120145724435,0.4470154758925828,0.2786233226501733,neutral,neutral
68,0.33487948239882404,0.35710455055176926,0.30801596704940676,neutral,positive
69,0.21513471466182502,0.23394741322898713,0.5509178721091876,positive,positive
70,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
71,0.33051679669209,0.35336943071274385,0.3161137725951663,neutral,negative
72,0.3341347632671246,0.3747002509869393,0.291164985745937,neutral,negative
73,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
74,0.332673663425702,0.3609034225893055,0.3064229139849927,neutral,neutral
75,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
76,0.3635286127707034,0.340402087233456,0.296069299995841,negative,positive
77,0.33547319493846206,0.35641087421998235,0.3081159308415556,neutral,negative
78,0.34073477429437615,0.35525662873478636,0.3040085969708378,neutral,neutral
79,0.33627370384899885,0.3557741177200083,0.307952178430993,neutral,neutral
80,0.33500516504310474,0.3571340291769706,0.3078608057799248,neutral,neutral
81,0.23556573174431367,0.28251711602184965,0.4819171522338369,positive,positive
82,0.33507125254595643,0.35684286865596676,0.3080858787980769,neutral,positive
83,0.2695128667656252,0.25869261688931755,0.4717945163450572,positive,positive
84,0.30998324212918854,0.31581802783793766,0.3741987300328741,positive,positive
85,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
86,0.23098597368225957,0.250202806526941,0.5188112197907992,positive,positive
87,0.30928881078231873,0.3300396756676956,0.3606715135499856,positive,positive
88,0.3358443841641119,0.35566768503631646,0.3084879307995717,neutral,neutral
89,0.35238789999267645,0.35233653177536645,0.29527556823195744,negative,negative
90,0.29520325726774554,0.38179796650625586,0.3229987762259983,neutral,negative
91,0.21382242053957146,0.20606409944347498,0.5801134800169531,positive,positive
92,0.21407936994730692,0.2375994064519091,0.548321223600784,positive,positive
93,0.33408238995574946,0.3550466871092169,0.3108709229350336,neutral,neutral
94,0.3224815632800892,0.36752169375879157,0.3099967429611193,neutral,neutral
95,0.3828256107957273,0.32731733564530346,0.28985705355896935,negative,positive
96,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
97,0.3833109403228844,0.3445319458522027,0.2721571138249131,negative,negative
98,0.33419154006953067,0.358043282590039,0.3077651773404306,neutral,neutral
99,0.33487835892675377,0.3571210866533807,0.30800055441986585,neutral,neutral
100,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
101,0.4998500154502837,0.2667595688541303,0.23339041569558625,negative,negative
102,0.5157255278775048,0.24996201755332062,0.23431245456917432,negative,negative
103,0.3205944156330146,0.38054691774024213,0.29885866662674415,neutral,positive
104,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
105,0.33585513879673773,0.3555753240644574,0.3085695371388051,neutral,negative
106,0.27259288529578973,0.30446570634863696,0.4229414083555735,positive,positive
107,0.2961533765810795,0.3838121527493411,0.32003447066957924,neutral,neutral
108,0.44776683042916654,0.2958078085478523,0.2564253610229811,negative,positive
109,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
110,0.3000191520684301,0.38052150690156966,0.31945934103,neutral,positive
111,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
112,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,negative
113,0.20144277229087276,0.3375845423470818,0.46097268536204544,positive,neutral
114,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
115,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
116,0.313801319737774,0.3892701372221428,0.2969285430400839,neutral,negative
117,0.2790759072065158,0.18864412729987617,0.5322799654936075,positive,positive
118,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
119,0.3475057412555541,0.33042431857056503,0.32206994017388063,negative,neutral
120,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
121,0.2764843632708622,0.44229350107112736,0.2812221356580106,neutral,neutral
122,0.32879872053875503,0.3453472699519183,0.3258540095093268,neutral,negative
123,0.3343056532157159,0.35632293578253416,0.30937141100175,neutral,neutral
124,0.253972681160768,0.279607768750398,0.4664195500888342,positive,positive
125,0.4694147732184573,0.2913321732524152,0.2392530535291279,negative,neutral
126,0.33573944166751063,0.3566038796851815,0.307656678647308,neutral,neutral
127,0.2966729039177371,0.3412923976553832,0.3620346984268792,positive,positive
128,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
129,0.42308437772657864,0.3065804082857025,0.27033521398771926,negative,negative
130,0.2531197107340575,0.26089253342065527,0.48598775584528725,positive,positive
131,0.41613569815199325,0.30775192657929934,0.27611237526870763,negative,negative
132,0.3217454140760926,0.36905947262674754,0.30919511329715976,neutral,negative
133,0.231582534590375,0.24966934936419252,0.5187481160454323,positive,positive
134,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,negative
135,0.32813580280035215,0.36626030352262484,0.305603893677023,neutral,positive
136,0.3403847996776869,0.356649208710701,0.3029659916116124,neutral,positive
137,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
138,0.3253969686215148,0.37428142637884554,0.3003216049996398,neutral,neutral
139,0.28928191483946314,0.42706601699831054,0.2836520681622262,neutral,positive
140,0.33994341200959793,0.35496816432350703,0.30508842366689526,neutral,neutral
141,0.3752591162602138,0.3340925389760594,0.29064834476372653,negative,neutral
142,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
143,0.421032482901594,0.30792372847058636,0.27104378862781986,negative,neutral
144,0.35302953794355163,0.3457113855522913,0.301259076504157,negative,negative
145,0.2109745015057414,0.2336011899366855,0.5554243085575732,positive,positive
146,0.15420848309656296,0.16962426839521752,0.6761672485082191,positive,positive
147,0.2335012149667587,0.26451194514677345,0.5019868398864681,positive,positive
148,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
149,0.12234052485321333,0.27687149865200866,0.6007879764947783,positive,neutral
150,0.35910707758450006,0.34142837377621293,0.29946454863928745,negative,positive
151,0.39863769183849546,0.31892394516854194,0.2824383629929625,negative,negative
152,0.5076734566382121,0.2561073284089301,0.23621921495285783,negative,negative
153,0.3264502070103287,0.3682221458998251,0.30532764708984644,neutral,neutral
154,0.3475423211207132,0.3470313155639269,0.30542636331536,negative,positive
155,0.29596479240990115,0.37730850232192525,0.3267267052681735,neutral,neutral
156,0.34990953102502387,0.3456057062764868,0.3044847626984893,negative,neutral
157,0.3352284941163408,0.35391321600651254,0.31085828987714675,neutral,positive
158,0.23558087692066898,0.2712979443293752,0.4931211787499562,positive,positive
159,0.3353660612280851,0.35636141971943297,0.30827251905248204,neutral,neutral
160,0.33478538501059907,0.3573244021161937,0.30789021287320745,neutral,positive
161,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,negative
162,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
163,0.25881453539180266,0.2916717240715348,0.44951374053666254,positive,positive
164,0.21287212287285356,0.22535072549501967,0.5617771516321264,positive,positive
165,0.33539756574550494,0.3566196792984094,0.30798275495608585,neutral,neutral
166,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,negative
167,0.3345046138992945,0.35697444778376,0.30852093831694577,neutral,negative
168,0.2413082646491155,0.2531545605615561,0.5055371747893284,positive,positive
169,0.27605715095687017,0.4462131208407969,0.2777297282023331,neutral,neutral
170,0.2307959164494844,0.25056281694985316,0.518641266600662,positive,neutral
171,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,negative
172,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
173,0.2910554111284543,0.30801071443253547,0.4009338744390097,positive,positive
174,0.31786385801267364,0.3845141652996086,0.2976219766877185,neutral,neutral
175,0.14347133895365366,0.15791084124709476,0.6986178197992517,positive,positive
176,0.33487948239882404,0.35710455055176926,0.30801596704940676,neutral,neutral
177,0.3340182531150426,0.3570659482144867,0.3089157986704708,neutral,positive
178,0.33733026129964516,0.35462493348459634,0.3080448052157587,neutral,neutral
179,0.4951015785738091,0.2812399627811125,0.22365845864507822,negative,negative
180,0.299660938266063,0.3129697362154288,0.38736932551850817,positive,positive
181,0.3273450448681496,0.3562434813843641,0.31641147374748657,neutral,positive
182,0.2150769332841534,0.24385460426435682,0.5410684624514897,positive,positive
183,0.4802029134078745,0.2737809083190448,0.24601617827308028,negative,negative
184,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
185,0.30424866567243014,0.3907801453923768,0.30497118893519315,neutral,neutral
186,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,neutral
187,0.32999060224165755,0.36166699074735187,0.3083424070109908,neutral,neutral
188,0.1989655917061584,0.2358124729876639,0.5652219353061775,positive,positive
189,0.337076123856663,0.35575517258943995,0.3071687035538972,neutral,neutral
190,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
191,0.3347985538014485,0.3570073768649582,0.30819406933359356,neutral,neutral
192,0.37047487965464293,0.2187921596846659,0.4107329606606915,positive,positive
193,0.3327468141926094,0.35598234285044006,0.31127084295695073,neutral,positive
194,0.33718098212377606,0.35554516050474955,0.3072738573714745,neutral,neutral
195,0.33482767728468205,0.35666850190972865,0.30850382080558936,neutral,neutral
196,0.33788879731171884,0.3543768928970681,0.30773430979121325,neutral,neutral
197,0.3203003723900399,0.38119415823315467,0.29850546937680633,neutral,neutral
198,0.3351803323216973,0.35665580321689044,0.30816386446141236,neutral,positive
